url_to,url_from
https://cs.illinois.edu/news/max-levchin-bs-cs-97-gives-2018-commencement-address,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/news/cs-illinois-honored-increasing-women-s-participation-computing,https://cs.illinois.edu/about/positions/choose-illinois-computer-science
https://cs.illinois.edu/people/faculty/department-faculty,https://cs.illinois.edu/about/positions/postdoctoral
https://my.cs.illinois.edu/submit/go.asp?id=1502,https://cs.illinois.edu/about/positions/postdoctoral
https://cs.illinois.edu/about/choose-illinois-computer-science,https://cs.illinois.edu/about/positions/staff-positions
https://cs.illinois.edu/cs-x,https://cs.illinois.edu/about/positions/postdoctoral
https://cs.illinois.edu/corporate/senior-design,https://cs.illinois.edu/corporate
https://cs.illinois.edu/news/covid-era-tech-grads-launch-careers-from-parents-homes,https://cs.illinois.edu/corporate
https://cs.illinois.edu/news/trala-raises-3-million-in-seed-round-led-by-former-linkedin-ceo,https://cs.illinois.edu/corporate
http://go.cs.illinois.edu/AlumniSurvey,https://cs.illinois.edu/alumni
https://my.cs.illinois.edu/submit/index.asp,https://cs.illinois.edu/alumni
